,gdp,gdp_fy,cpiu_irs,ccpiu_irs,awi,rev,rev_iit,rev_payroll,rev_corp,rev_excise,rev_estate,rev_customs,rev_misc,outlays,outlays_disc,outlays_mand,outlays_mand_oasi,outlays_mand_health,outlays_mand_other,outlays_ni,pop,pop_0_5,pop_6_17,pop_18_24,pop_25_34,pop_35_44,pop_45_54,pop_55_64,pop_65_74,pop_75_84,pop_85_plus,pop_married,pop_unmarried,gdp_c,gdp_i,gdp_g,gdp_nx,gdp_comp,gdp_wages,gdp_proprietors,gdp_rent,gdp_interest,gdp_div,gdp_corp,rgdp,pce_deflator,cpiu,ccpiu,gdp_deflator,u3,lfpr,emp_hh,emp_est,tsy_10y,tsy_3m,ffr,avg_rate_debt
1970Q1,259.95029560475047,255.7003177883862,0.030969465568616895,,0.023099128870193393,49.77714453561832,23.56924254061962,10.825095820596335,9.226657998293886,3.73174255703391,1.0064119022319955,0.6270356815537418,0.7909580352888613,47.80344685321269,30.066782141392096,14.174654215382098,6.756634706890827,2.120739019809295,5.297280488681976,3.562010496438487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970Q2,265.5296615630889,259.65094578115384,0.03141067683217881,,0.023223766309267112,48.671981055470205,22.89465291015437,11.001672751565254,8.523290747223673,3.867255796376413,0.9371962917158229,0.6121437045229953,0.8357688539116894,48.52934721245451,30.052959431839444,14.892940028125757,7.201126139698166,2.1321885121313304,5.559625376296256,3.5834477524892976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970Q3,271.1169644932553,263.6299005888963,0.03184834567051888,,0.0233608076764308,47.62171803172465,22.250491216407955,11.178608871167695,7.8436854150277515,3.9969274250204734,0.8735883568944931,0.5991199168205008,0.8792968303857818,49.26854931031272,30.050771337578073,15.612337217871026,7.637869668437621,2.147529165591801,5.826938383841603,3.605440754863639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970Q4,276.72807833890556,267.69383584156367,0.03227538723319345,,0.023535060827864402,46.7361563771868,21.697613332818058,11.356622556670727,7.235365839454694,4.109074221569207,0.8268034491576893,0.5917006971027627,0.9189762804136674,50.04765662402012,30.083487089190413,16.335068538621126,8.051369484973385,2.174543302467575,6.109155751180165,3.629100996208579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971Q1,282.3868140155239,271.92773198408094,0.03268117424453706,,0.02378373754783787,46.17999746106443,21.327303069541216,11.536791373974937,6.769617777127369,4.186171353927293,0.8136645955899391,0.5954906133545375,0.9509586775491403,50.90657436942584,30.18601053255022,17.064468121380905,8.418381877101796,2.2249044061739576,6.421181838105154,3.656095715494713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971Q2,288.12491941042276,276.44489627634823,0.03305153700366242,,0.02415645354871114,46.172843108967875,21.261272173452817,11.720552077614466,6.541488903542939,4.2048523793009664,0.8566024989706114,0.6179624228888342,0.9701126531972606,51.898509500995544,30.404880128822512,17.80498147415684,8.707915228551279,2.314177121264691,6.78288912434086,3.688647898016178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971Q3,294.04462462071893,281.364715546861,0.033380031074622715,,0.02466736537639337,46.7956132938686,21.536448540634044,11.91829458283196,6.587624727621853,4.159705033889008,0.9590901380233547,0.6602747712988182,0.9741754995695584,53.04266687584387,30.749244901620695,18.566448234576015,8.919835694211846,2.4443054950357923,7.20230704532838,3.7269737396471676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971Q4,300.3186419533347,286.81265619270994,0.033667937286411834,,0.025295170410343022,47.99054613609912,22.104976216371934,12.149361965578649,6.886268591707845,4.063271232882739,1.1056427674160951,0.7172721924578108,0.9637531696840409,54.32424925373476,31.19086443700656,19.36410216988625,9.084867200135083,2.60361297752556,7.675621992225609,3.769282646841944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972Q1,307.19016592499725,292.9202641795814,0.03392426173296404,,0.025983106863567813,49.56119790335312,22.83421539515934,12.442050462514306,7.357261671567944,3.9460470704660313,1.261817917761037,0.7774851085192899,0.9423202773651843,55.694457297081186,31.66410888349035,20.21857117695599,9.264591443534156,2.766802421514573,8.187177311907252,3.811777236634832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972Q2,314.97287326223864,299.8251650417569,0.034165735773154286,,0.02663895378262474,51.172443010685456,23.50674242069494,12.833609471007243,7.86204297639247,3.8564828198153007,1.3742153956146637,0.8231298299168897,0.9162200972439433,57.07048957094525,32.065958952030684,21.15587728227434,9.551447892783822,2.8949560825256855,8.709473306964828,3.848653336640221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
