,TPN,TCIN,XGDP,ECNIA,EBFI,EH,EGFE,EGSE,EM,EX,GFSRPN,GTN,GFINTN,EGFLN,EGFEN,TRP,TRCI,TRP_t,TRCI_t,TRFPM,TRFCIM,RCCH,RBFI,RTBFI,TRP_Base,TRCI_Base,LUR,LFPR,LEH,PICNIA,RFF,RTB,RG10
2017,1533.7139874689656,365.0895102832794,17021.34658035869,11854.053938987177,2309.049522347847,581.8384754295888,751.109661057684,712.7103079749937,2798.043831771067,2174.2222635359417,-1133.4441731302752,2615.422640248,463.88697762303093,434.9901924042575,824.636658785565,0.11156521297632509,0.14370691307501215,0.11156521297632509,0.14370691307501215,0.2296865040053783,0.35000000000000003,5.510368096236368,5.8262105981210315,0.17663033505560444,13832.022713710709,2170.215173957795,4.295761406715592,0.6289351708541326,153.55480658577645,1.7469821836513677,1.1290722686890873,0.9830260430667821,2.8109004595321667
2018,1533.6456260421808,261.74951184007773,17243.80748396812,11969.2098343926,2432.6618829823274,552.5108555121803,759.7996057339022,711.5612688685384,2866.9220502314765,2247.013907424263,-1540.9585270140894,2729.1626803300965,602.9771845596974,452.26902899262035,855.098159520701,0.10707665255288343,0.08374397011804377,0.10707665255288343,0.08374397011804377,0.1459075973581369,0.21000000000000002,6.267613619013531,6.3210709761210175,0.1814803260543153,14538.08688610236,2389.4165329894563,4.077221560660453,0.6283710585291923,155.13474174819285,1.978093894627166,1.7558501978033616,1.3797622119820139,3.3103448561876503
2019,1516.6161910271633,283.9442070404223,17450.362849841575,12145.00183522659,2533.6175885487723,539.481396040582,767.0920354511702,713.6811292543113,2983.1190821432074,2288.8139588428944,-1951.3517304682905,2842.133740485508,772.745960983096,471.8821363810822,885.6635949029275,0.10111245885584677,0.08506308043354109,0.10111245885584677,0.08506308043354109,0.14733211420672276,0.21000000000000005,6.670047674492823,6.5634300543886015,0.18085700183958003,15382.539565175719,2575.6521689459564,4.034207707756232,0.6281807159262303,156.47985870110665,2.0978119568730915,2.286297969072177,1.7157581239591402,3.75999707758836
2020,1595.8634225288206,342.20628351013477,17501.91060377807,12241.096769595777,2582.1506633569993,536.4623561467647,767.5686561821269,712.5119159652985,3080.6027182536254,2295.4498378758526,-4311.683121518735,2925.230801814938,970.7185597806404,488.11360512374057,909.8696810771444,0.10228642438569216,0.10282469109131058,0.10228642438569216,0.10282469109131058,0.14704596928730598,0.21000000000000008,6.916579330436022,6.8287625624563795,0.18128760260853655,16296.75583423684,2745.1948801298804,4.056180813254252,0.6279857829416068,157.67558578760745,2.0970392403687823,2.813484924290157,2.102615867649132,4.015714547328115
2021,1682.387849581693,368.1237230906071,17729.792311003872,12471.390152899592,2630.04209638917,546.3626542043994,775.6240739156465,719.6043392724467,3206.6672528711706,2323.666699895117,-3711.3218794405116,3036.9367613790746,1240.5272440579556,509.283624574812,944.3456912002359,0.10249809673726847,0.10753000588200545,0.10249809673726847,0.10753000588200545,0.14800590658005394,0.21000000000000008,7.108418751041013,7.055185877722807,0.1742506266194047,17289.137224483333,2877.3504459500296,4.241314851302465,0.6276522697401253,158.526925010289,2.092499864562158,2.9366358973236357,2.2276180383625435,4.206941027022149
2022,1774.3289797230811,420.95699429745514,18111.252301034507,12815.34954570624,2691.40540951946,564.093309189909,789.8921141685494,732.1344583325076,3361.3953486503674,2374.2532238399153,-2289.356146544461,3178.438151603168,1470.7885367084725,534.8872119410028,988.3257969687528,0.10238832548988504,0.12057571005662784,0.10238832548988504,0.12057571005662784,0.14910149838688308,0.21000000000000008,7.1785784378954185,7.074241034844512,0.19447225698439013,18249.072076720848,2999.878520693338,4.391911700141224,0.627206652534298,159.36799415945268,2.1054992727594253,2.881130950594336,2.2227744318157994,4.336711078380787
2023,1872.9967232217095,461.79065588144465,18435.632551827595,13125.805975903291,2755.0794883753515,581.4820555388319,799.9858563081713,740.6268829635974,3527.380144405478,2422.519872673133,-2495.559200390188,3302.2466299662665,1655.5865193670875,558.1337738004175,1029.0547242752261,0.10297498727168825,0.12955593971748638,0.10297498727168825,0.12955593971748638,0.15056161422057157,0.20999999999999996,7.265260422008182,7.1101740473201165,0.20919574599434693,19229.4612843604,3118.1490899090413,4.384412793330116,0.627022796213817,160.50547064705933,2.1205350672627983,3.0690690118794106,2.3804422427946994,4.473864689532146
2024,1970.354644250242,474.79036739048956,18743.59399601899,13426.958070342063,2820.403449524861,597.5360942341053,808.2145781744172,747.5330287229802,3694.247351347252,2471.333177410281,-2623.3167874887854,3419.252903282015,1852.1644398936155,580.7139320255619,1069.0030042137528,0.1032338984655542,0.1293686597322361,0.1032338984655542,0.1293686597322361,0.1522943321324616,0.20999999999999996,7.407328704478349,7.196243466462938,0.21583853632405367,20286.87460654288,3226.625590085574,4.326703437521589,0.6269956033267577,161.740131208488,2.136119433361195,3.3263464848003204,2.5957293282808656,4.63706100126427
2025,2070.9034799589717,480.2495548367427,19049.86430909432,13731.47740350306,2883.907933360431,612.7599001842677,815.678663757411,753.9555135946898,3860.4134775758926,2520.4287671809657,-2775.784609654948,3536.9417964111076,2065.76083996468,603.5511269489574,1109.726828515895,0.10331783793284331,0.1273496734499799,0.10331783793284331,0.1273496734499799,0.15378093422990413,0.21000000000000002,7.54521075281137,7.2626011444170535,0.21427227698283519,21419.74246751376,3320.0346191908047,4.2454027716025236,0.6270429860762924,163.01068114676096,2.157167193823172,3.629114232562041,2.855616614419458,4.796162605355346
2026,2273.4058510191835,492.1929993363397,19376.45451643604,14047.44683722449,2950.145480156409,628.2085135460082,824.2833157447589,761.3172166122285,4025.311282764182,2573.4072626155853,-2750.3350049044075,3667.9294639434665,2304.1790722958153,628.3422059019135,1154.0853993629526,0.10778323908663155,0.12774437971802882,0.10778323908663155,0.12774437971802882,0.23723870793735458,0.20999999999999996,7.6661723299714915,7.3000983448828265,0.21054615197332735,22618.837683883772,3398.586637715205,4.189658549593321,0.6270955205785773,164.21854115304535,2.188026073566159,3.9200516686499487,3.1183411143660034,4.954651456434168
