,Dynamic_score_jct,
2017,0,
2018,-103.5,
2019,-245.6,
2020,-222.2,
2021,-182.3,
2022,-141.3,
2023,-97.4,
2024,-73.6,
2025,-66.8,
2026,-5.1,
2027,68.4,
