year,tpn_delta,trci_delta,trci_delta_alt,int_tax
2017,0,0,0,0
2018,-75.3,-129.3,-60.4,68.9
2019,-188.8,-133.8,-91.2,42.6
2020,-171.9,-112.9,-86.9,26
2021,-156.3,-92.5,-64.5,28
2022,-150.8,-50.4,-27.5,22.9
2023,-144,-16.4,6.1,22.5
2024,-140.9,-15.9,20.8,36.7
2025,-139.2,-24.1,24.6,48.7
2026,-41.4,-28.4,0.7,29.1
2027,83,-49.4,-50.2,-0.8
