year,tpn_delta,trci_delta
2017,0,0
2018,-64.2,-124.3
2019,-134.3,-129.3
2020,-124.5,-116.3
2021,-123.8,-101.6
2022,-123.3,-89
2023,-88.9,-24.8
2024,-69.1,2.4
2025,-70.4,-27
2026,-88.8,-55
2027,-88.4,-80.4
